fold,site,n_train,n_test,avg_batch_size,train_time,infer_time,fold_time,stopped_epoch,n_infer_points
0,115553_48392,14846,726,20.0,1.8382112157996744,0.20488302991725504,2.0430942457169294,110,4048
1,114021_46842,14845,727,19.701923076923077,1.8750286858994514,0.21845040516927838,2.0934790910687298,104,3992
2,114158_46244,14857,715,19.75,2.2061987770721316,0.3410079190507531,2.5472066961228848,132,4077
3,115324_47594,14853,719,21.13157894736842,1.9688728051260114,0.28068146388977766,2.249554269015789,114,4086
4,112501_46003,14842,730,20.72972972972973,2.0508558300789446,0.1004171809181571,2.1512730109971017,148,4067
5,111092_44658,14851,721,20.181818181818183,1.8232691860757768,0.09820481692440808,1.921474003000185,121,4021
6,112013_46659,14842,730,20.333333333333332,1.8151665220502764,0.13123288890346885,1.9463994109537452,114,4156
7,111303_47494,14845,727,20.637037037037036,1.7528465520590544,0.14108602795749903,1.8939325800165534,135,4075
8,111056_45684,14862,710,20.264900662251655,2.37103455606848,0.1475923010148108,2.518626857083291,151,4110
9,114224_47013,14875,697,19.806818181818183,1.2203302590642124,0.11105160089209676,1.3313818599563092,88,4104
10,105370_45440,14844,728,20.635761589403973,2.067313540028408,0.09886334813199937,2.1661768881604075,151,4148
11,106490_45366,14865,707,20.580645161290324,0.37887128978036344,0.08732407609932125,0.4661953658796847,31,3988
12,114189_48364,14846,726,20.617391304347827,1.8242188880685717,0.11053613992407918,1.9347550279926509,115,3991
13,111987_46850,14844,728,20.361702127659573,1.8895450818818063,0.09975471906363964,1.989299800945446,141,4085
14,109455_47049,14848,724,19.783505154639176,1.3449577761348337,0.10294413613155484,1.4479019122663885,97,4093
15,107862_48318,14846,726,20.141025641025642,1.2558157260064036,0.11342858499847353,1.369244311004877,78,4065
16,104677_47868,14868,704,20.142857142857142,1.8409829689189792,0.09298197599127889,1.933964944910258,133,4032
17,108720_47582,15350,222,22.15463917525773,1.4093160280026495,0.1105684801004827,1.5198845081031322,97,4210
18,113997_48510,15351,221,21.008,1.7588264120277017,0.0998566800262779,1.8586830920539796,125,4302
19,111712_46826,15425,147,21.1981981981982,1.6303583378903568,0.09660053299739957,1.7269588708877563,111,4260
20,113155_47122,15349,223,21.42056074766355,1.6445271540433168,0.09858165704645216,1.743108811089769,107,4174
21,114001_45860,15336,236,21.32846715328467,1.7889758090022951,0.10031027090735734,1.8892860799096525,137,4174
22,115672_47955,15354,218,21.137931034482758,2.0074260029941797,0.09303728607483208,2.100463289069012,145,4211
23,104476_48487,15356,216,21.57246376811594,2.044302183203399,0.09954343899153173,2.143845622194931,138,4211
24,114270_47773,15361,211,20.788079470198674,2.2748190599959344,0.1296925968490541,2.4045116568449885,151,4130
25,105103_48308,15374,198,20.7,1.8930389049928635,0.09249895485118032,1.9855378598440439,140,4215
26,106557_45648,15337,235,20.72566371681416,1.6650601120200008,0.09953398909419775,1.7645941011141986,113,4276
27,113484_47177,14844,728,20.31578947368421,1.6974584029521793,0.10161251295357943,1.7990709159057587,114,4031
28,115195_48971,15494,78,21.495726495726494,1.693473984953016,0.0945116002112627,1.7879855851642787,117,4226
29,109677_48551,15369,203,21.373831775700936,1.699714177986607,0.11368504608981311,1.81339922407642,107,4207
30,112364_48607,15387,185,21.08910891089109,1.50149869103916,0.09613290196284652,1.5976315930020064,101,4224
31,114096_46927,15566,6,21.2972972972973,1.6508778540883213,0.10033463104628026,1.7512124851346016,111,4283
