site,n_obs,rmse_log,mae_log,r2_log
115553_48392,726,0.49647374711202064,0.39212575324076104,0.36884084529135586
114021_46842,727,0.4760513987368305,0.3815350333543934,0.20302329916144868
114158_46244,715,0.7498559078317882,0.6033525076182288,0.14341605407444635
115324_47594,719,0.47457217272347296,0.36414198604157205,0.30710378195951415
112501_46003,730,0.7164356130696102,0.5669744378447502,0.18614275350096166
111092_44658,721,0.8662428931019547,0.7081929203843631,-0.2333753661242135
112013_46659,730,0.5514757734515412,0.45409179879936923,0.2598352362203705
111303_47494,727,0.42710214074367786,0.33494355707190393,0.20131535207464302
111056_45684,710,0.6653292637516178,0.566746761064482,-1.1550592216639655
114224_47013,697,0.4495528483157921,0.35736397648497364,0.17980633352103215
105370_45440,728,0.45321972579214004,0.344277437976281,0.35436304676571373
106490_45366,707,1.6259084792171714,1.5184572565443966,-6.774180853074965
114189_48364,726,0.6848448962013759,0.5085506842593843,0.1253205324153357
111987_46850,728,0.584794118487954,0.44656616972075563,0.25016619920339034
109455_47049,724,0.4538338002155235,0.3536710508862129,0.3199251208672138
107862_48318,726,0.44911098386583215,0.3457850909057291,0.4020769423928652
104677_47868,704,0.44783092983171774,0.360697441404368,0.2652578285139401
108720_47582,222,0.40003379930680344,0.3159442030194524,0.5347506879308301
113997_48510,221,0.6625064004507374,0.5221761133116289,-0.027637174756996785
111712_46826,147,0.4289060947417226,0.3441172203001352,0.4665194272407355
113155_47122,223,0.5462558379265571,0.43026951693665044,0.33612755964523944
114001_45860,236,0.48445974136956615,0.3823138517406086,0.4062987303385004
115672_47955,218,0.4391063830551944,0.3596476147267557,0.5780797007333998
104476_48487,216,0.5224252886355651,0.41535284097707853,0.13980593891251747
114270_47773,211,0.4391310647495287,0.3442889462486266,0.5976424578754471
105103_48308,198,0.47031963234562724,0.37439009679151325,0.429263971755822
106557_45648,235,0.4591407105939002,0.3662635128706378,0.2613145290560257
113484_47177,728,0.6117449614137804,0.4884013608287369,0.2589806860527032
115195_48971,78,1.6146028966348736,1.5812423430108558,-49.963830258007434
109677_48551,203,0.4475477093167974,0.37468481278413324,-1.614065637206315
112364_48607,185,0.669901921720861,0.4877092014574034,-1.6057606742199773
114096_46927,6,0.40752332208401504,0.32643196800327445,0.6740869720420649
